complete_string,range,min_num,max_num,letter,password
7-8 t: ttttttvs,7-8,7,8,t, ttttttvs
12-18 j: jjjjjjjjjjjjjjjjjb,12-18,12,18,j, jjjjjjjjjjjjjjjjjb
5-7 p: tfrppwpcpppp,5-7,5,7,p, tfrppwpcpppp
11-13 h: hthhhhzfbhhhdhhph,11-13,11,13,h, hthhhhzfbhhhdhhph
1-7 n: ncgsvwvlvwlhbtmnnnpx,1-7,1,7,n, ncgsvwvlvwlhbtmnnnpx
10-11 j: djjbsjljjxf,10-11,10,11,j, djjbsjljjxf
5-12 n: cnjqkknnnnmjnq,5-12,5,12,n, cnjqkknnnnmjnq
18-20 z: zzzzzzzzzzzzzzzzzbzp,18-20,18,20,z, zzzzzzzzzzzzzzzzzbzp
2-5 m: kphbm,2-5,2,5,m, kphbm
12-13 g: tzrqwrjgzkxgg,12-13,12,13,g, tzrqwrjgzkxgg
8-9 w: mwwwkwwwww,8-9,8,9,w, mwwwkwwwww
2-6 j: jbxjjzjjjjj,2-6,2,6,j, jbxjjzjjjjj
9-10 j: jjjjjjjjznj,9-10,9,10,j, jjjjjjjjznj
5-6 j: jjjspjj,5-6,5,6,j, jjjspjj
8-18 g: jggmgpfggbvggvgggggl,8-18,8,18,g, jggmgpfggbvggvgggggl
3-5 n: nnxnh,3-5,3,5,n, nnxnh
3-18 n: nnlnnnnnngnnnnnnnhnn,3-18,3,18,n, nnlnnnnnngnnnnnnnhnn
6-10 r: rcrctghspmrrbrcrrrrq,6-10,6,10,r, rcrctghspmrrbrcrrrrq
18-19 s: sfxqssssgssscxsdrss,18-19,18,19,s, sfxqssssgssscxsdrss
7-10 b: pbbbbbbgvbzbbz,7-10,7,10,b, pbbbbbbgvbzbbz
15-17 m: mmmmmmmmmmmmmmhmmm,15-17,15,17,m, mmmmmmmmmmmmmmhmmm
4-11 s: sssgssssssssssssxfss,4-11,4,11,s, sssgssssssssssssxfss
7-9 g: ggtgggggg,7-9,7,9,g, ggtgggggg
4-8 w: wwwwwwwt,4-8,4,8,w, wwwwwwwt
17-20 p: pppppppppppppppppppn,17-20,17,20,p, pppppppppppppppppppn
2-5 w: hdxrw,2-5,2,5,w, hdxrw
9-18 c: cccccccccwcccccccc,9-18,9,18,c, cccccccccwcccccccc
1-9 l: qllllllllllllll,1-9,1,9,l, qllllllllllllll
15-16 g: ggggggggggggggnj,15-16,15,16,g, ggggggggggggggnj
8-9 s: sjszkrhsss,8-9,8,9,s, sjszkrhsss
12-18 g: ggggggggggggggggggg,12-18,12,18,g, ggggggggggggggggggg
5-6 s: ksnsxspsw,5-6,5,6,s, ksnsxspsw
4-8 p: pppbpppcppppp,4-8,4,8,p, pppbpppcppppp
4-10 f: fffffffffff,4-10,4,10,f, fffffffffff
1-2 d: dqdd,1-2,1,2,d, dqdd
7-8 w: wwjwvhvcwbwww,7-8,7,8,w, wwjwvhvcwbwww
3-5 h: xghfhzhqw,3-5,3,5,h, xghfhzhqw
4-5 q: qqqzpw,4-5,4,5,q, qqqzpw
5-9 q: fxkrhqrjq,5-9,5,9,q, fxkrhqrjq
2-4 m: mmjm,2-4,2,4,m, mmjm
1-4 p: wpmg,1-4,1,4,p, wpmg
7-13 n: nnnqfdtnnnnftnlnnn,7-13,7,13,n, nnnqfdtnnnnftnlnnn
2-11 w: vwphpjskljxgqsgqzph,2-11,2,11,w, vwphpjskljxgqsgqzph
2-4 w: wwwwgfkmpcf,2-4,2,4,w, wwwwgfkmpcf
6-10 w: htgtkwwrmwvgrdmkzt,6-10,6,10,w, htgtkwwrmwvgrdmkzt
3-4 s: sssstss,3-4,3,4,s, sssstss
11-20 l: dqlqmkllqclbmzklllrt,11-20,11,20,l, dqlqmkllqclbmzklllrt
1-6 g: gfgcwgvzkrhgjslg,1-6,1,6,g, gfgcwgvzkrhgjslg
2-13 j: jjjszjxjljjjjqjjvjjh,2-13,2,13,j, jjjszjxjljjjjqjjvjjh
4-19 q: qqqlqqqqqqqqqqqqqqfq,4-19,4,19,q, qqqlqqqqqqqqqqqqqqfq
11-14 j: jbjjjjjjjjrjjp,11-14,11,14,j, jbjjjjjjjjrjjp
10-11 f: fpffvfffspvkf,10-11,10,11,f, fpffvfffspvkf
4-5 v: vhvlvhgh,4-5,4,5,v, vhvlvhgh
6-8 h: nsfklqhtxg,6-8,6,8,h, nsfklqhtxg
2-3 z: czwnzzp,2-3,2,3,z, czwnzzp
1-10 c: wcmvcrcmjmcmbcckfcdc,1-10,1,10,c, wcmvcrcmjmcmbcckfcdc
2-4 f: hzbrjqqntbbffbfl,2-4,2,4,f, hzbrjqqntbbffbfl
2-5 b: bzmbwztrb,2-5,2,5,b, bzmbwztrb
7-9 z: bscfzxzxz,7-9,7,9,z, bscfzxzxz
13-14 z: zzzzznzzzzzzbn,13-14,13,14,z, zzzzznzzzzzzbn
3-7 t: rlxttrcmfttlt,3-7,3,7,t, rlxttrcmfttlt
4-6 h: rldcbhx,4-6,4,6,h, rldcbhx
11-12 g: vfgfdgffbrrg,11-12,11,12,g, vfgfdgffbrrg
1-10 s: ssssssssjsss,1-10,1,10,s, ssssssssjsss
7-13 k: dqbklkhvlgphjqhvgc,7-13,7,13,k, dqbklkhvlgphjqhvgc
8-18 x: xxxxdxxxxxxxxxxxxzxl,8-18,8,18,x, xxxxdxxxxxxxxxxxxzxl
1-3 x: xxxx,1-3,1,3,x, xxxx
11-12 z: ttzhvzzzxkzzzzgz,11-12,11,12,z, ttzhvzzzxkzzzzgz
5-7 h: hjmhhhhh,5-7,5,7,h, hjmhhhhh
10-12 l: lllllllpllllwmwwb,10-12,10,12,l, lllllllpllllwmwwb
2-6 j: hfjqlm,2-6,2,6,j, hfjqlm
6-9 n: mnnqfnpkw,6-9,6,9,n, mnnqfnpkw
7-8 c: cckcqchscc,7-8,7,8,c, cckcqchscc
4-5 q: qqqqq,4-5,4,5,q, qqqqq
11-13 d: dddddddjddddgd,11-13,11,13,d, dddddddjddddgd
3-11 q: qvqlqqqqlknnqhq,3-11,3,11,q, qvqlqqqqlknnqhq
1-4 h: hnphh,1-4,1,4,h, hnphh
9-15 f: ffffffffffffffffffff,9-15,9,15,f, ffffffffffffffffffff
4-7 p: pxpvbpcz,4-7,4,7,p, pxpvbpcz
9-14 g: ggggggggwgggggg,9-14,9,14,g, ggggggggwgggggg
1-2 w: wwwwwwwwww,1-2,1,2,w, wwwwwwwwww
4-5 g: ggcgggvg,4-5,4,5,g, ggcgggvg
11-15 k: kkkgtkcjmwkrkkkkkk,11-15,11,15,k, kkkgtkcjmwkrkkkkkk
3-4 w: wzww,3-4,3,4,w, wzww
8-10 k: kkkkkkkwjqtkkkkkkkk,8-10,8,10,k, kkkkkkkwjqtkkkkkkkk
5-6 n: djnfkmzzbc,5-6,5,6,n, djnfkmzzbc
12-18 x: jxxnxhqxxxxsxxxbxxxx,12-18,12,18,x, jxxnxhqxxxxsxxxbxxxx
13-14 p: hbmspppspppkgp,13-14,13,14,p, hbmspppspppkgp
15-16 d: dtddddddddddddpkd,15-16,15,16,d, dtddddddddddddpkd
4-6 q: bvqqcpq,4-6,4,6,q, bvqqcpq
2-4 h: dqhsjpp,2-4,2,4,h, dqhsjpp
10-11 l: llllllklwll,10-11,10,11,l, llllllklwll
4-5 h: dhhcdh,4-5,4,5,h, dhhcdh
3-5 t: mvntxdsxftt,3-5,3,5,t, mvntxdsxftt
5-9 w: wxpqwwqwjf,5-9,5,9,w, wxpqwwqwjf
14-15 c: cccccccccccccccc,14-15,14,15,c, cccccccccccccccc
6-8 b: bbtbbdbwb,6-8,6,8,b, bbtbbdbwb
4-7 g: gdpqgrj,4-7,4,7,g, gdpqgrj
1-6 p: qppppppp,1-6,1,6,p, qppppppp
1-14 s: sqssssbrszsskmss,1-14,1,14,s, sqssssbrszsskmss
7-9 n: nnnnnnvsn,7-9,7,9,n, nnnnnnvsn
4-7 r: nrltrrhndcbrr,4-7,4,7,r, nrltrrhndcbrr
8-18 d: dddddddpdddddddddfdd,8-18,8,18,d, dddddddpdddddddddfdd
1-3 b: bbbbb,1-3,1,3,b, bbbbb
6-7 f: fpfplqf,6-7,6,7,f, fpfplqf
2-8 j: jjjjjjjsj,2-8,2,8,j, jjjjjjjsj
3-5 h: ndhwxnb,3-5,3,5,h, ndhwxnb
4-5 z: zzcztzv,4-5,4,5,z, zzcztzv
5-6 c: ccccck,5-6,5,6,c, ccccck
3-4 q: qjqqqqq,3-4,3,4,q, qjqqqqq
4-19 q: nsqqgqpgmjsmbkpzwvl,4-19,4,19,q, nsqqgqpgmjsmbkpzwvl
13-15 r: rrrrrrrrrrrrrrrrr,13-15,13,15,r, rrrrrrrrrrrrrrrrr
6-12 k: kckvkkhkfbkkkkkkr,6-12,6,12,k, kckvkkhkfbkkkkkkr
3-5 x: xxxxsxx,3-5,3,5,x, xxxxsxx
3-4 s: ssff,3-4,3,4,s, ssff
2-7 l: pgwllllhlxwl,2-7,2,7,l, pgwllllhlxwl
8-18 z: zzzzzzzzzzzzzzzzzz,8-18,8,18,z, zzzzzzzzzzzzzzzzzz
1-11 c: fhhcjcchrlxcpcc,1-11,1,11,c, fhhcjcchrlxcpcc
3-4 w: zhcjwjnwgwg,3-4,3,4,w, zhcjwjnwgwg
1-7 x: zxlpxmxt,1-7,1,7,x, zxlpxmxt
12-13 k: jskdrkmhkkkndk,12-13,12,13,k, jskdrkmhkkkndk
1-8 x: xmpwwvrx,1-8,1,8,x, xmpwwvrx
10-12 r: kprvkppwczjt,10-12,10,12,r, kprvkppwczjt
1-12 b: sbbbvgbbzgbtbklsbb,1-12,1,12,b, sbbbvgbbzgbtbklsbb
1-2 z: zzgqpwhzrhnrgjrgrstz,1-2,1,2,z, zzgqpwhzrhnrgjrgrstz
9-11 s: ssssxssssss,9-11,9,11,s, ssssxssssss
3-10 k: sbksdgcrkkxfgc,3-10,3,10,k, sbksdgcrkkxfgc
7-8 n: nnnnnnzf,7-8,7,8,n, nnnnnnzf
13-14 j: jjjjjjjjjjjjjj,13-14,13,14,j, jjjjjjjjjjjjjj
3-4 f: fmff,3-4,3,4,f, fmff
13-14 k: nkkkkkkkkkkkkk,13-14,13,14,k, nkkkkkkkkkkkkk
2-3 w: zbtww,2-3,2,3,w, zbtww
1-5 k: kgmkkrckdp,1-5,1,5,k, kgmkkrckdp
4-5 p: xphlp,4-5,4,5,p, xphlp
3-4 k: tzzh,3-4,3,4,k, tzzh
2-6 s: jssvsxdsszsthspslztk,2-6,2,6,s, jssvsxdsszsthspslztk
1-3 z: mzzzqzzz,1-3,1,3,z, mzzzqzzz
5-7 h: hkhhwgwlchnh,5-7,5,7,h, hkhhwgwlchnh
8-14 v: dvvvhggtsvdwgx,8-14,8,14,v, dvvvhggtsvdwgx
3-8 d: dxdrkjcd,3-8,3,8,d, dxdrkjcd
2-4 d: pkmb,2-4,2,4,d, pkmb
8-11 b: bbbbbbbmbbkbbb,8-11,8,11,b, bbbbbbbmbbkbbb
3-12 j: wxljjrjjjjhzj,3-12,3,12,j, wxljjrjjjjhzj
5-17 c: wbnpcnngzcgcgbqwvkh,5-17,5,17,c, wbnpcnngzcgcgbqwvkh
2-6 q: sqlbhq,2-6,2,6,q, sqlbhq
1-3 n: nlbqgnhcnnznj,1-3,1,3,n, nlbqgnhcnnznj
2-3 k: gkncgkn,2-3,2,3,k, gkncgkn
4-6 g: gwxglggzhnq,4-6,4,6,g, gwxglggzhnq
3-14 j: dgjcfxrjcgwjmjdmggk,3-14,3,14,j, dgjcfxrjcgwjmjdmggk
2-3 z: qvnrlzs,2-3,2,3,z, qvnrlzs
11-12 k: kdtwlzkjfdkkfkn,11-12,11,12,k, kdtwlzkjfdkkfkn
15-18 b: bqpxdxbbhkbnfdbfpb,15-18,15,18,b, bqpxdxbbhkbnfdbfpb
5-15 j: jjjjgjjrjjjjjmmjjjj,5-15,5,15,j, jjjjgjjrjjjjjmmjjjj
8-13 t: tthtpttttmtktttt,8-13,8,13,t, tthtpttttmtktttt
6-8 f: wxbpffcf,6-8,6,8,f, wxbpffcf
8-9 b: bbbbbbbwr,8-9,8,9,b, bbbbbbbwr
8-14 l: xmlrtbphkjrxrg,8-14,8,14,l, xmlrtbphkjrxrg
15-18 x: qxxxlpxxmxxhmmxxxx,15-18,15,18,x, qxxxlpxxmxxhmmxxxx
7-11 c: cccccsclcrc,7-11,7,11,c, cccccsclcrc
1-4 k: kkkkkk,1-4,1,4,k, kkkkkk
3-4 j: jdqq,3-4,3,4,j, jdqq
11-15 b: vgfqbwsrkhgjhjv,11-15,11,15,b, vgfqbwsrkhgjhjv
13-16 k: kkkkkfkkkkckkkkkkk,13-16,13,16,k, kkkkkfkkkkckkkkkkk
18-20 b: lwwgrrbtwbcvdhbwbmbf,18-20,18,20,b, lwwgrrbtwbcvdhbwbmbf
7-12 m: mmmmmmmmmmmmmm,7-12,7,12,m, mmmmmmmmmmmmmm
2-12 l: pllndrxbzqzlmzstmbvw,2-12,2,12,l, pllndrxbzqzlmzstmbvw
3-14 r: rrrrrrrrrrrrrrrrrrr,3-14,3,14,r, rrrrrrrrrrrrrrrrrrr
1-16 p: ppppppppppppppppppp,1-16,1,16,p, ppppppppppppppppppp
5-9 x: mtbxxxjxxxxd,5-9,5,9,x, mtbxxxjxxxxd
2-4 r: rrrrrrrrrr,2-4,2,4,r, rrrrrrrrrr
3-4 k: kfkz,3-4,3,4,k, kfkz
3-5 m: mgmmmm,3-5,3,5,m, mgmmmm
11-12 l: blcpjbfvzjll,11-12,11,12,l, blcpjbfvzjll
2-4 z: tzzzd,2-4,2,4,z, tzzzd
5-9 z: zzzzqzzzrzjzzzzz,5-9,5,9,z, zzzzqzzzrzjzzzzz
10-14 m: mmmmmmmmmmmmvcmmm,10-14,10,14,m, mmmmmmmmmmmmvcmmm
2-7 w: jwchkdws,2-7,2,7,w, jwchkdws
12-14 p: mdpppjpppppppppppr,12-14,12,14,p, mdpppjpppppppppppr
15-18 v: vvvvvvvvvvvvvvtvvcv,15-18,15,18,v, vvvvvvvvvvvvvvtvvcv
4-10 p: pppfmbkhqppkvzpp,4-10,4,10,p, pppfmbkhqppkvzpp
3-17 p: ppppppjppppppppppppp,3-17,3,17,p, ppppppjppppppppppppp
3-6 r: cjvklrqrnhkk,3-6,3,6,r, cjvklrqrnhkk
1-3 s: sssss,1-3,1,3,s, sssss
2-6 d: dqddctdjd,2-6,2,6,d, dqddctdjd
12-16 k: kkprkzdksmkbkfxd,12-16,12,16,k, kkprkzdksmkbkfxd
8-13 g: pggggggzwgggwgggmg,8-13,8,13,g, pggggggzwgggwgggmg
13-16 b: sbwbbpbhbbbbdbbgb,13-16,13,16,b, sbwbbpbhbbbbdbbgb
10-14 c: ccccccccccccccccc,10-14,10,14,c, ccccccccccccccccc
4-8 j: cxkxmzcrsnvbkfvmlk,4-8,4,8,j, cxkxmzcrsnvbkfvmlk
5-13 l: lmdnlnkbtspvll,5-13,5,13,l, lmdnlnkbtspvll
3-4 g: ggmgmmhwfmg,3-4,3,4,g, ggmgmmhwfmg
5-7 d: ddddjdp,5-7,5,7,d, ddddjdp
11-15 v: vplvcvvdvhvmvtv,11-15,11,15,v, vplvcvvdvhvmvtv
10-12 r: rhrrrjrslrrnrqrrrzrn,10-12,10,12,r, rhrrrjrslrrnrqrrrzrn
2-6 x: xhxxxxxx,2-6,2,6,x, xhxxxxxx
5-10 s: zmrkslzcdsrssfsssss,5-10,5,10,s, zmrkslzcdsrssfsssss
5-7 r: rrrrrrr,5-7,5,7,r, rrrrrrr
3-4 g: ggpx,3-4,3,4,g, ggpx
14-15 s: sssssssssssssmb,14-15,14,15,s, sssssssssssssmb
1-5 w: smclhnwxff,1-5,1,5,w, smclhnwxff
4-9 l: lllcllllqvlllll,4-9,4,9,l, lllcllllqvlllll
1-4 s: lhpd,1-4,1,4,s, lhpd
12-14 b: cwbdzbbbbdbfqc,12-14,12,14,b, cwbdzbbbbdbfqc
5-13 b: qtbsqbvjbcxbkznrlb,5-13,5,13,b, qtbsqbvjbcxbkznrlb
10-12 f: fffpfffffxfqffffff,10-12,10,12,f, fffpfffffxfqffffff
15-16 x: xkxdqrxlwxxvxtxx,15-16,15,16,x, xkxdqrxlwxxvxtxx
14-15 p: ppjpgdppppppppgpp,14-15,14,15,p, ppjpgdppppppppgpp
10-16 n: nnwnnnnnnnrqnnnn,10-16,10,16,n, nnwnnnnnnnrqnnnn
5-7 k: kwwzqdn,5-7,5,7,k, kwwzqdn
2-3 m: mchvnq,2-3,2,3,m, mchvnq
6-10 h: vhhxzphthw,6-10,6,10,h, vhhxzphthw
5-6 r: slpcrr,5-6,5,6,r, slpcrr
17-18 b: bbbbcmbbbbbbbbbbpzbb,17-18,17,18,b, bbbbcmbbbbbbbbbbpzbb
3-5 s: wfscss,3-5,3,5,s, wfscss
9-12 r: rfjrrtrrrrkrr,9-12,9,12,r, rfjrrtrrrrkrr
1-8 t: tstztmttgtttfvt,1-8,1,8,t, tstztmttgtttfvt
8-9 f: fffffffjnff,8-9,8,9,f, fffffffjnff
7-13 l: lkxclrlgldxllcll,7-13,7,13,l, lkxclrlgldxllcll
10-12 s: bssssdssbsxc,10-12,10,12,s, bssssdssbsxc
8-12 t: tttttttwtttttt,8-12,8,12,t, tttttttwtttttt
3-11 d: ndrndqqzqhdnjf,3-11,3,11,d, ndrndqqzqhdnjf
1-10 g: xgqgggqggfmgggggggmg,1-10,1,10,g, xgqgggqggfmgggggggmg
8-9 x: kttxbdnxxxcfjxxrxgxx,8-9,8,9,x, kttxbdnxxxcfjxxrxgxx
4-10 n: ndjrqmcxnh,4-10,4,10,n, ndjrqmcxnh
12-13 c: txpwlvzhxhcwbpg,12-13,12,13,c, txpwlvzhxhcwbpg
8-9 z: crsqsztzz,8-9,8,9,z, crsqsztzz
5-6 b: vbwbjb,5-6,5,6,b, vbwbjb
4-5 v: vvvvv,4-5,4,5,v, vvvvv
2-6 d: tdsddddx,2-6,2,6,d, tdsddddx
4-10 r: hzqzrrnwrrhrrfrfwrr,4-10,4,10,r, hzqzrrnwrrhrrfrfwrr
11-18 g: ggggggggggggggggggg,11-18,11,18,g, ggggggggggggggggggg
1-7 z: zhcppxz,1-7,1,7,z, zhcppxz
7-9 r: rrwrrrrrr,7-9,7,9,r, rrwrrrrrr
1-9 l: hlllllllqllpllllllvd,1-9,1,9,l, hlllllllqllpllllllvd
1-4 g: jklqjgvtxsggfjggg,1-4,1,4,g, jklqjgvtxsggfjggg
2-18 m: mmqmmmjkmmmlkmmmlvmm,2-18,2,18,m, mmqmmmjkmmmlkmmmlvmm
1-8 w: kwgwxzshwwwc,1-8,1,8,w, kwgwxzshwwwc
6-7 f: fffzfgk,6-7,6,7,f, fffzfgk
6-8 t: ttttthtcttk,6-8,6,8,t, ttttthtcttk
3-14 s: hsszwzdxkhsphrtrcbs,3-14,3,14,s, hsszwzdxkhsphrtrcbs
4-10 l: lllllbllllll,4-10,4,10,l, lllllbllllll
3-8 g: gggdgggkj,3-8,3,8,g, gggdgggkj
1-4 x: xxxcx,1-4,1,4,x, xxxcx
3-7 k: tqhknrkxjxqv,3-7,3,7,k, tqhknrkxjxqv
11-19 p: pwwppgsztplgssgtpsp,11-19,11,19,p, pwwppgsztplgssgtpsp
11-12 k: kkkkkkkkkklgkkk,11-12,11,12,k, kkkkkkkkkklgkkk
4-16 h: tnhhcgldlnzngvhb,4-16,4,16,h, tnhhcgldlnzngvhb
8-11 w: znwwwwwwwwwwww,8-11,8,11,w, znwwwwwwwwwwww
8-9 m: mbtmmmccjvmtm,8-9,8,9,m, mbtmmmccjvmtm
14-15 l: lllllllllltllfw,14-15,14,15,l, lllllllllltllfw
11-16 z: kfslzzwszdmsnptcz,11-16,11,16,z, kfslzzwszdmsnptcz
5-6 g: qgggggk,5-6,5,6,g, qgggggk
3-8 k: kkmdkwkd,3-8,3,8,k, kkmdkwkd
9-14 v: vvvvvvcvnvvvxwvfvv,9-14,9,14,v, vvvvvvcvnvvvxwvfvv
3-7 v: vvtvvvcmvvvvxvvvv,3-7,3,7,v, vvtvvvcmvvvvxvvvv
6-7 l: dnfjfzfhhn,6-7,6,7,l, dnfjfzfhhn
9-10 g: mtzwcwgfjgshqg,9-10,9,10,g, mtzwcwgfjgshqg
2-9 s: bsgcgjrqs,2-9,2,9,s, bsgcgjrqs
3-4 c: ccpc,3-4,3,4,c, ccpc
9-14 n: nnnnnnnnnnnnnnknnnn,9-14,9,14,n, nnnnnnnnnnnnnnknnnn
4-5 p: tppxsp,4-5,4,5,p, tppxsp
4-6 x: xmxxnxxw,4-6,4,6,x, xmxxnxxw
3-4 m: mmmm,3-4,3,4,m, mmmm
15-16 s: swshctdsksqgcsqsr,15-16,15,16,s, swshctdsksqgcsqsr
2-4 x: xxxxxx,2-4,2,4,x, xxxxxx
6-7 h: hhvhhhh,6-7,6,7,h, hhvhhhh
8-15 n: nnmvfnhnlndnwgjthmb,8-15,8,15,n, nnmvfnhnlndnwgjthmb
4-5 z: fvzzzw,4-5,4,5,z, fvzzzw
1-12 m: wmjwgmmlmmmm,1-12,1,12,m, wmjwgmmlmmmm
7-16 n: xhnxjkjprznthqmdnwnl,7-16,7,16,n, xhnxjkjprznthqmdnwnl
6-9 b: bbbbbbbbb,6-9,6,9,b, bbbbbbbbb
17-19 d: ddwdlddkrgdkdddpqdj,17-19,17,19,d, ddwdlddkrgdkdddpqdj
6-9 b: bbbbbbbbbb,6-9,6,9,b, bbbbbbbbbb
7-19 l: llvllllllclllflllll,7-19,7,19,l, llvllllllclllflllll
7-9 h: lhhhhhfhhhh,7-9,7,9,h, lhhhhhfhhhh
7-10 m: hsdgdmmqqncdcgfxpb,7-10,7,10,m, hsdgdmmqqncdcgfxpb
7-8 h: hqzcmvhw,7-8,7,8,h, hqzcmvhw
3-7 l: clkllltlwlp,3-7,3,7,l, clkllltlwlp
1-2 g: gsgggggqgg,1-2,1,2,g, gsgggggqgg
6-8 j: qjjqqcjjjjtjs,6-8,6,8,j, qjjqqcjjjjtjs
11-14 r: nrlhdrrlbrrxgg,11-14,11,14,r, nrlhdrrlbrrxgg
3-10 s: tsxfscsfsws,3-10,3,10,s, tsxfscsfsws
6-7 t: tstttdtbt,6-7,6,7,t, tstttdtbt
6-7 r: rrcxrplkrnrrrbrpl,6-7,6,7,r, rrcxrplkrnrrrbrpl
3-11 b: pbwvpbkbzdbwbvlb,3-11,3,11,b, pbwvpbkbzdbwbvlb
5-11 d: wgwhfxtjmdfd,5-11,5,11,d, wgwhfxtjmdfd
7-12 m: chmmmrmrmxmqjcpmb,7-12,7,12,m, chmmmrmrmxmqjcpmb
1-2 n: nntnnn,1-2,1,2,n, nntnnn
4-12 l: lllllllllllnllll,4-12,4,12,l, lllllllllllnllll
4-5 c: ccchc,4-5,4,5,c, ccchc
